"","Z_score","log_fc","conv","d","p_val"
"Htr2c",7.0617655824589,4.23814788871312,TRUE,-1.10800257857591e-13,1.64401825486493e-12
"Calcr",6.85778155801196,-7.34579124353561,TRUE,-2.11655068887984e-07,6.99373892132371e-12
"Egr2",5.66771003570497,3.90204498861645,TRUE,-0.000406347154108838,1.44718601546856e-08
"Brs3",5.4229902903939,-5.03425783128212,TRUE,-1.68881550410838e-09,5.86101773780712e-08
"Baiap2",4.64194188334768,1.61600602579954,TRUE,3.04478664503449e-13,3.45149951241908e-06
"Syt4",4.20708545758525,-1.11064393993939,TRUE,-5.13194266704708e-06,2.58685337539699e-05
"Pak3",4.13643297226396,-0.883843746105991,TRUE,-2.38551389020181e-06,3.52746329299602e-05
"Creb3l1",4.06527476626849,2.07301388215699,TRUE,-3.39515210390218e-09,4.79759069744734e-05
"Arhgap36",3.8408988252664,-2.40855847979565,TRUE,-3.38385174170064e-06,0.000122584634424383
"Slc18a2",3.84020278758163,3.32017250510438,TRUE,-1.0554532831053e-08,0.000122932721532409
"Oprd1",3.82412936555808,2.23300034190278,TRUE,-1.01529895601971e-13,0.000131234999442897
"Rgs2",3.48875716405699,-1.45085779819841,TRUE,1.85819027720413e-07,0.000485271782283858
"Crhbp",3.4868123554855,-4.1150952142346,TRUE,-1.86469522228672e-06,0.000488814194712139
"Gda",3.46379173952394,2.01225073306123,TRUE,-2.5526446512103e-09,0.000532618693183773
"Oxtr",3.36976857781803,3.12095490656653,TRUE,-3.08148506711348e-11,0.000752313368134194
"Esr1",3.34099485741538,-2.53419437291598,TRUE,7.43849426498855e-14,0.000834787692496786
"Cpne5",3.32114578251712,1.52938778423559,TRUE,-7.60938456689786e-09,0.000896486975967559
