"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","sd 1","sd 2","sd 3"
"Maf",0,2.08819646564443,0.314729737355152,6.63488770776063,1,0.000167351951308014,4.35754269031721e-09,3.24749116487055e-11,1.7868195401412,2.38583498951016,2.29408690321337,0.467434257654189,0.614343047583385,0.590377370314227
"Calb2",0.238755171050649,1.29023239250341,0.160516839881501,8.03798774917259,1,0.000116314904783112,2.01684822688828e-13,8.88178419700125e-16,1.01956838794756,1.57617109735074,1.30622063384239,0.124029005873742,0.154377993398542,0.148985956438444
"Nrg3",0.327338955866635,-1.17832957422462,0.208261368963872,-5.6579363714306,0.830693110106482,0.00146063921858132,1.55951014143831e-06,1.53203909558641e-08,-0.88822485091163,-1.07749414771644,-1.58652745153798,0.162477217560152,0.12063172992264,0.169937959276906
"Cplx2",0,1.1181352101726,0.0538187497339993,20.7759417619141,1,0.000188087617633814,0,0,1.15134894992823,1.12703499329406,1.07468931938534,0.0906976335808276,0.0959942899748946,0.0931838317623055
"Tmem132c",0,-1.10788244383652,0.115370565340745,-9.60281715326962,1,0.000213836510834124,0,0,-1.25303363272007,-0.995796039414588,-1.14939409271407,0.233390686751637,0.174896343032637,0.203787716380137
"Sept6",0.227329699459573,1.03223419773818,0.191412434665206,5.39272278493107,0.510800739122726,5.45378546971544e-05,5.85322346614094e-06,6.93979747001805e-08,1.44062735199511,0.80427880990167,0.946309357449741,0.278101986464973,0.209500853026462,0.24179229212816
"Plk5",0.239887792229548,-1.0132838799119,0.163439173738912,-6.19976139582416,1,6.66691657394301e-05,6.18267232965763e-08,5.6548832283454e-10,-1.3390892688065,-0.934897804548421,-0.792847838360456,0.167240407052022,0.136518130463316,0.147374706873315
"Arhgef3",0.203947869043745,0.948059103828929,0.202453964441853,4.682837930305,1,0.000188149303000105,0.000154668515367125,2.82930211037424e-06,1.16183716061863,1.2528937510643,0.592864052210104,0.288739652981225,0.344796404526583,0.238308842517379
"Snca",0,-0.879323310797486,0.082283700889047,-10.6864822716613,0.758738173071991,7.23839574201652e-05,0,0,-0.787054260678834,-0.9805664929943,-0.846217369784908,0.155308624136615,0.13526864075094,0.139228746037593
"Airn",0.130279996432121,0.849570296306118,0.175848469945057,4.83126351097376,1,0.000743047250629338,8.52118669011336e-05,1.3566930028297e-06,0.531758469574181,1.18975923818603,0.895952470798763,0.231518853367068,0.251576348320902,0.397683389623216
