"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","sd 1","sd 2","sd 3"
"Aldoc",0.259692133901281,-2.9386252830013,0.175237260978126,-16.76940889511,0.790352093382681,0.000502855908246871,0,0,-3.23329957999942,-2.63148055158614,-3.01525762457968,0.189220724621404,0.125919191375534,0.15660938958443
"Kctd12",0,-1.72077979332111,0.216531494321558,-7.94701850976781,1,7.20247472347112e-05,1.76858527822787e-13,1.99840144432528e-15,-1.86674445305477,-1.56586220874394,-1.93551444172557,0.462015355846921,0.294649361758752,0.441712961493206
"Clstn2",0,-1.6234679345038,0.260958360552296,-6.22117617181481,0.845898913722087,0.000390215761140949,2.49540532999098e-08,4.9344173191912e-10,-1.99151357902428,-1.29649855078782,-1.77108014671124,0.513046683422468,0.397400735843522,0.468638743198453
"Pde9a",0.612096594389172,1.55971112027324,0.469601329142515,3.32135158799753,1,0.000594909991533735,0.00991007635697243,0.000895826111364739,1.24714537202108,2.65794282034692,1.18434363348479,0.454294181959808,0.741461608690593,0.450287449892016
"Kcng4",0.273186234979341,1.41472323922732,0.296010191958867,4.77930584033372,0.626451384220846,2.34582531455032e-05,4.7899316957222e-05,1.75901446453075e-06,2.43941326499027,1.4514016513017,1.19391877035358,0.908776337645325,0.389686482466888,0.308607057663229
"Plcb4",0,1.34054408098196,0.160514499423922,8.35154509899793,0.535908740354111,0.000550131918461283,0,0,1.36962890352273,1.44598045427215,1.27283533827891,0.329658221145853,0.315697654190645,0.226009117890471
"Rgs8",0,1.18210667751015,0.0779743594524976,15.160197349621,1,0.0003271876332303,0,0,1.148184265836,1.24740170062135,1.15517728722713,0.154201950994105,0.139733848422034,0.118508486851176
"Uchl1",0.0879122532912893,-0.992589065792082,0.199744255522461,-4.96929968371714,0.951946311826818,2.22451135901503e-05,2.16246204925693e-05,6.7195148423238e-07,-0.915975150568114,-0.772833338497043,-1.44362934134306,0.347988117907741,0.292098461179851,0.380571893805769
"Tenm2",0.257671854123186,-0.98822686085552,0.270971968166013,-3.64697081969038,1,0.00150770734311135,0.00347903391975324,0.000265350044726942,-1.59601870602336,-0.788417219266418,-0.756927100724288,0.463005103007424,0.358490469125118,0.369553460874452
"Creg1",0,0.905596218013978,0.224727239122828,4.02975723614444,1,4.56395277884181e-05,0.000988270397023849,5.58344857075621e-05,0.877584809711797,0.797114857909494,1.03135627135492,0.404730954965714,0.388564554694557,0.376007928093829
"Nefh",0,0.859914363657695,0.146972412578643,5.85085560324165,0.955358055076614,2.78953058431053e-05,2.16404919983759e-07,4.89050666629964e-09,0.897956982607606,0.822816535079033,0.87185376241279,0.328608196735439,0.248442953017171,0.219093289609632
"Slc1a6",0,-0.807566204541806,0.105900036003879,-7.62574060420741,1,0.000622936011449161,1.71356262512745e-12,2.42028619368284e-14,-0.70314185673356,-0.726571602987294,-1.03265179642478,0.199033409801853,0.161381579832739,0.197921667290134
"Ppm1b",0,-0.756043818592997,0.193373164261456,-3.90976597751054,1,0.000201554219440677,0.00135207258381209,9.23855808518947e-05,-0.331286230405859,-0.887974120150451,-0.767360201506178,0.476694181648784,0.27316519888808,0.334435311150892
"H2-D1",0,0.740810240854988,0.187158488312216,3.95819739481533,1,0.000123358991578402,0.00127300991046488,7.55175370614758e-05,0.4420882185148,1.0702015225633,0.665534603242453,0.369229998030102,0.32684667189712,0.290466188036425
"Paxbp1",0,0.718883867009164,0.160516620625131,4.47856342981477,1,0.0012037974401629,0.000166262830705421,7.51470421267442e-06,0.759552882363129,0.715222307121844,0.687231102864685,0.297474167577063,0.260902761477999,0.279288693110675
"Garnl3",0,0.713542148715038,0.1483555665052,4.80967560249939,1,0.00263954488101804,4.45967538992287e-05,1.51175436946538e-06,0.79804121857743,0.835911536879454,0.552974808074431,0.269225666114948,0.26885253685322,0.23699622826748
"Meg3",0.259699205975293,-0.703841304126805,0.180389496128873,-3.90178651878915,0.737240185895509,0.00581207250354629,0.00135207258381209,9.54853519641308e-05,-0.548692571050562,-0.509057890851129,-1.0703575779251,0.195087747995798,0.146237299511636,0.180570493302495
