"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Gfap",0.296545017714671,0.935298655588096,0.161011595931402,5.80889003787386,1,0.000432667211265462,2.28442020400177e-06,6.28883745079634e-09,0.646141783524631,1.17683777166832,1.23581888842891,0.653799121489478,0.135004210626489,0.115325745506922,0.114168628477102,0.136945091886834
"Etnppl",0,-0.807099637629857,0.190330217506555,-4.24052285655618,1,0.000100492478082344,0.00231441857159812,2.22999724723838e-05,-0.828317199564001,-0.897500293837925,-0.758040387843998,-0.78333849109041,0.45780919723295,0.405052628631762,0.315280111458395,0.386960730703198
"Nnat",0,-0.799989813207204,0.0977887181071509,-8.18079865133955,1,0.00116061818839304,3.2263081095607e-13,2.22044604925031e-16,-0.840012070211543,-0.911647650137695,-0.77239907709449,-0.701644649399676,0.243376021711407,0.198924607689718,0.163669685400854,0.199643354119747
"Ifi27",0,0.706445556793324,0.139725008093367,5.05597077025226,0.714521633439129,8.69766209380672e-05,7.77730819518929e-05,4.28206920588536e-07,0.837524191877264,0.876287449292723,0.511032599652239,0.681558173584913,0.294682485244519,0.298792832428235,0.251196851021351,0.281085960574175
"Daam2",0,0.677869129243587,0.15444991968814,4.38892510020281,0.914339829661855,9.058393019193e-05,0.00127318890349906,1.13912290058416e-05,0.795112738459825,0.520014606684909,0.581333359011627,0.847282003593568,0.323201421792196,0.330716055722425,0.271414290454183,0.322256315148215
"2310022B05Rik",0.219352597361159,-0.62171046385874,0.15562977907147,-3.99480399938902,1,0.000636954187713311,0.00574835600818042,6.47477946509323e-05,-1.04498775562163,-0.747508756415621,-0.40718887893786,-0.383243079629284,0.26067495143248,0.215686347040207,0.181730317398287,0.232656486149135
"Mfap3l",0,0.611737351547423,0.157264679931753,3.88985849723469,1,0.000193698788080141,0.00767051636881013,0.00010030269167749,0.651663933021078,0.670649171363055,0.590764043274297,0.490056763291232,0.32739356855552,0.281111290334138,0.298940870561014,0.371155585639493
"Pfkp",0,0.599105504171967,0.107515651301298,5.57226317211303,0.61825998852204,0.000114249142638861,6.08930956735865e-06,2.51451186539242e-08,0.658791910466459,0.775987500461653,0.539645271405421,0.408102957562769,0.243097031493137,0.209510862828393,0.183650246414207,0.241435448231874
"C4b",0.083444799631644,0.587250880729967,0.132885716155987,4.41921748790988,1,8.96585064370821e-05,0.00119943843507251,9.90589209970416e-06,0.249857814225341,0.880027528840877,0.672179592493736,0.487783075087556,0.285800140003122,0.253023516491008,0.243114128311419,0.234633630865802
"Pbxip1",0,0.469579615881704,0.119454790546903,3.93102372648108,1,0.000444122806619073,0.00682788296075308,8.45849231201345e-05,0.198970204659399,0.714249185561786,0.410736565020736,0.52192621463506,0.270631381913338,0.23949136074704,0.206318051686148,0.254007822269889
"Slc6a11",0,-0.46852710803131,0.104396205660652,-4.48797066010514,1,0.000383252505406556,0.000949797416228148,7.19048284825163e-06,-0.456505217025826,-0.455373982351472,-0.509894137231713,-0.439541102136973,0.231147212249775,0.19476344919241,0.19118689279397,0.2275173701454
"Sox2",0,-0.453229081282688,0.10917762951824,-4.15129988883822,1,0.000893741817216572,0.00320233688961425,3.30592246002848e-05,-0.209494538485001,-0.479271761666338,-0.698486143014669,-0.354765697517984,0.223706721546325,0.2113740504678,0.202566214850372,0.241404138258331
"Mgll",0,0.450111749818072,0.0790938415626255,5.69085709993842,1,0.0010735114373907,3.67327877022206e-06,1.26403261191399e-08,0.604098348848079,0.415150881162235,0.377276575633975,0.407949892019534,0.157884908728125,0.155128697575519,0.146542845811342,0.1778521501887
"Zc3h7b",0,0.433947213358927,0.113424210160734,3.82587820311007,1,6.16699664022352e-05,0.00946678236722618,0.000130306708427064,0.544701517505084,0.448494247646024,0.203225011503698,0.588273719569011,0.226893363083601,0.236204969399679,0.211056353776149,0.236146170381625
"Mt2",0.113047525525768,0.41205946204141,0.078764858822663,5.23151400511173,1,0.00655911877236802,3.48984227076204e-05,1.68127294530862e-07,0.457553656980473,0.60483487510457,0.249462607363885,0.317395378289614,0.10992360687172,0.103177759818625,0.113429497761719,0.11257818317096
