"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Ankrd54",0.113905210468222,0.457905511184556,0,1.0143563770873,-7.98261812915432,-7.28499520971638,-7.06479177929552,-6.96826175206702
"Atxn7l3b",0.0869993643916686,0.383273506064799,0,0.783280837427436,-7.56223131871509,-7.01240627937591,-6.72247305675642,-6.77895048128766
"Calm2",0.151535718225762,0.779808784653491,0,1.3808201005889,-7.96055215553257,-6.57973205494368,-6.21585560351198,-6.50244445600536
"Ccdc173",0.079692843057588,0.359524999656011,0,0.687434005022862,-6.74548306305234,-7.56553506187999,-7.23052109642587,-7.4329170680752
"Cenpe",0.108975366015338,0.430428472579858,0,1.03664732757141,-7.67286345947755,-8.14070951027098,-8.32397635637358,-8.70951078704896
"Dydc1",0.0970548214057581,0.580807697107527,0,1.17082442989852,-7.19050369408505,-7.78491911363275,-8.43875916217645,-8.36132812398356
"Dyrk3",0.117049077415235,0.482276018049852,0,1.07894605808631,-7.52994654877891,-7.9532765097451,-8.40791491847839,-8.60889260686522
"Piwil1",0.194943665965373,0.959865299730914,0,2.27214452936244,-8.79435723878554,-7.39475942302792,-6.5222127094231,-7.14397443684502
"Plk1",0.109195053957805,0.545125676638651,0,1.12132081257615,-7.64181114322394,-8.20749688275205,-8.79608020601892,-8.76313195580009
"Setx",0.142787155287982,0.542171683091039,0,1.22577810068345,-7.954142853752,-6.9708889394538,-6.72836475306856,-6.98936163401193
"Dcaf7",0.0936553844253306,0.325577763147277,1.33226762955019e-15,0.7740316287388,-7.33322378408498,-7.79296439252705,-7.88549763984758,-8.10725541282378
"Reep4",0.0977395865651106,0.366228174918091,1.33226762955019e-15,0.802054807716275,-7.45887274861978,-8.05843543897435,-8.19551197286838,-8.26092755633605
"Nasp",0.0601454603577906,0.200533713174301,1.86517468137026e-14,0.474533830420092,-5.46259264351924,-5.66927229938698,-5.93712647393934,-5.59015560184984
"Smc4",0.087724055818038,0.35951662674482,5.86197757002083e-14,0.679095340006339,-7.20684574170723,-6.55174940474621,-6.41418658181235,-6.52775040170089
"Hipk3",0.0907046706138608,0.378827908072045,1.10578213252666e-13,0.694961525845077,-7.19118675389569,-7.70050660501547,-8.07092302684338,-7.88614827974077
"Ckap2l",0.11276054021865,0.414023151196144,1.33226762955019e-13,0.861221342521673,-7.57356826933278,-7.93610925250224,-8.41400944173999,-8.43478961185445
"Mllt10",0.198032474598743,0.732266472226541,1.79856129989275e-13,1.50465539317945,-9.09186548006725,-7.85577218117226,-7.52444346459708,-7.5872100868878
"Sycp2",0.165849397018534,0.514785385256495,2.05169214950729e-13,1.25735986479407,-8.1771298978618,-7.54790418159885,-6.91977003306773,-7.47050887738993
"Ccdc96",0.0761288611229958,0.278858978107744,3.26405569239796e-13,0.572576966959477,-6.99232606439195,-7.41754455768882,-7.59938668951437,-7.56490303135142
"Ybx2",0.0636495187069497,0.196089870954738,9.29922805426031e-13,0.469912251872389,-5.58451139165877,-5.34629825352483,-5.11459913978638,-5.26732874496068
"Kat7",0.147139316703151,0.458405925132231,2.44604336785414e-12,1.06720398999644,-8.88932053370131,-8.36515813627098,-8.07394076676258,-7.82211654370487
"Rnf166",0.198898847325496,0.65039484878075,5.6914473134384e-12,1.41969260673775,-9.01131463535081,-8.03798062257809,-7.67823522243941,-7.59162202861306
"Aurka",0.0830563195186948,0.414193031081382,3.55901974558037e-11,0.571533664844542,-7.74978463450115,-8.42839143465886,-8.74206749403435,-8.32131829934569
"Prss39",0.111245587809882,0.610195187473302,1.72795111552659e-10,0.740070539868488,-7.206705809694,-8.1926362658434,-8.6691905042805,-7.94677634956249
"Zfp956",0.180704542664808,0.539885877262659,3.84841492007126e-10,1.18067948466229,-9.43477481727122,-9.21747986622415,-8.63282041525299,-8.25409533260893
"Bin2",0.157864852506584,0.458328441924145,4.75030681457156e-10,1.02646344723934,-9.07659114258595,-8.79364776888924,-8.33895529757649,-8.0501276953466
"D16Ertd472e",0.169981269383911,0.597593895790485,4.86893192430671e-10,1.10461570412852,-8.27917644181035,-8.91348682311732,-9.63923248242429,-9.38379214593887
"Hook2",0.120794912635072,0.687773971257394,5.67697888698149e-10,0.782184749650613,-7.89462271001014,-8.83707211798174,-9.57133533169732,-8.67680745966076
"Ccp110",0.410505808573545,1.14693249513229,8.76167138841311e-10,2.63112402618746,-10.0884100952521,-8.10738026038021,-7.45728606906467,-8.04806886970322
"Snx3",0.128180347991663,0.333580416703604,1.58016932871874e-09,0.809964076912627,-7.45456486120839,-7.77294123757212,-7.86346899082402,-8.26452893812102
"Slc2a3",0.0645875333787733,0.221075906303774,2.08100736642791e-09,0.405367560296762,-7.25919400267037,-7.00890876704315,-6.75092679447323,-6.8538264423736
"Ndufaf3",0.107198696261124,0.364375861391291,2.98205993232159e-09,0.666780789761106,-7.8699774913094,-7.79613309419431,-7.20500901416154,-7.2031967015483
"Nup50",0.142638048508867,0.365727951560873,3.03777536458938e-09,0.886800810495465,-7.79865256182056,-8.35185293497982,-8.28449642666302,-8.68545337231602
"Gsg2",0.0673508888902668,0.256741021031318,4.04130062747754e-09,0.415701769926372,-6.43754627956863,-6.97009644530677,-6.98760307588979,-6.853248049495
"Cdc25a",0.181130508093385,0.55226381065966,4.21075441181529e-09,1.1167934199575,-8.13798317547231,-8.67366811384883,-9.31173603776518,-9.25477659542982
"Cdca3",0.100744611035925,0.377956937207379,4.9286961179007e-09,0.618645096468288,-7.46592019494022,-7.82370044379794,-8.35190463671242,-8.08456529140851
"Catsper2",0.0824212799913963,0.365452587194487,5.06863750970865e-09,0.505759883608985,-7.25556792957884,-7.70217397601664,-8.14777000290242,-7.76132781318783
"Ccna1",0.112932548122498,0.391002439752415,7.17764381263919e-09,0.686713726030959,-8.02436024957334,-8.50326281163361,-8.94282030021713,-8.71107397560429
"Ccdc136",0.100182217367612,0.314239272894842,8.06316480250757e-09,0.607310970849558,-6.0243674287628,-6.63167839961236,-6.60453365357629,-6.13534576704442
"Lrrc34",0.124746543671481,0.347870927984908,1.34167010834574e-08,0.74594120483361,-7.75051009735622,-8.17443045288173,-8.47332592857657,-8.49645130218983
"Cdkn3",0.100248228444067,0.347472537391514,1.74254117801809e-08,0.595165868657048,-7.30469672282885,-7.65364370918107,-8.11382517555733,-7.8998625914859
"Tcam1",0.252392714407735,0.663380491188522,1.91682936190318e-08,1.49448453669626,-9.59874602783053,-8.83204987373826,-8.32447235348401,-8.10426149113427
"Mphosph8",0.339321349043037,0.981467647662074,2.14845701229649e-08,2.002837691943,-9.81043508851402,-8.21937889749948,-7.67982164927979,-7.80759739657102
"Ppp2r2d",0.161076511842678,0.512441757968227,2.82433210152533e-08,0.943458146608437,-7.84217156257203,-8.26173407638072,-8.97072124120439,-8.78562970918046
"Tdrd1",0.363638288952072,0.879752016063827,3.59757983403597e-08,2.11523672747104,-9.92803719689412,-8.53342198111516,-7.81280046942308,-8.64813886162896
"Rassf1",0.364524314916378,0.890314217891578,5.25532577455579e-08,2.0971679384102,-10.2216604860488,-8.79385882430994,-8.7139027658408,-8.1244925476386
"Cdc27",0.152707738180005,0.374556763891059,7.25458906281062e-08,0.870195636350705,-7.99155207692312,-8.37964536088119,-8.64417729886832,-8.86174771327382
"Bms1",0.080091959974698,0.216495705873546,1.16827173268774e-07,0.449847318130674,-7.48532294485261,-7.6568274928317,-7.91612890475625,-7.93517026298328
"Kcnj9",0.149133681774665,0.364702116429203,1.37088840279631e-07,0.83349675835726,-9.03589765148742,-8.83984590332033,-8.85268624173844,-8.20240089313016
"Mtl5",0.160312529380081,0.362019470991646,2.03785198049644e-07,0.884871834535556,-7.96565507848306,-7.50131113137424,-7.0807832439475,-7.5584250851386
"Gm20621",0.19242693905325,0.443201565317791,2.13177465013814e-07,1.06060799489493,-8.75694651556878,-8.0988663933486,-7.69633852067384,-8.03820246869757
"Ppp2r1b",0.132724801024864,0.475550603888499,2.14676994847451e-07,0.731381375351223,-7.8401533584208,-8.69845637565218,-8.94648298524216,-8.57153473377203
"Spata16",0.127439001500024,0.299759370993529,2.1654438508989e-07,0.702059631420262,-6.83874537250622,-7.10204983205637,-7.54080500392648,-7.00564554496802
"Psip1",0.104653333056036,0.24573580349013,2.27412847220165e-07,0.575630772482506,-7.06421662972053,-6.62413203360588,-6.48858585723803,-6.71980390577623
"Bag5",0.135213964639261,0.532015281302354,2.36042919876667e-07,0.742836725780053,-7.26564328641872,-7.69888901640782,-8.52996213162741,-8.00848001219878
"Svip",0.0850094164370889,0.329940848799453,2.52527406985337e-07,0.46600965636263,-6.84399852055156,-7.05273471294583,-7.60756365479956,-7.31000817691419
"Brd2",0.073972759557314,0.196446716547582,3.45138721602467e-07,0.401400935322297,-6.8474818741568,-7.15960595738029,-7.27483438100182,-7.2488828094791
"Slc25a33",0.177536433434758,0.466422844312622,3.54898757048971e-07,0.962487586546688,-8.13308833547547,-8.17337451566354,-8.74978930040306,-9.09557592202216
"Psma8",0.323488842685001,0.735752813068409,5.73354082877842e-07,1.72580409511148,-9.46882926279501,-8.18829049727415,-7.74302516768353,-8.62384096782926
"Arpc1a",0.14022831592972,0.327016322603575,6.02868996057992e-07,0.74683595620918,-8.08625655801705,-8.47643090088077,-8.70119746627323,-8.83309251422623
"Ccnb2",0.108410414250498,0.246914215166057,6.49694430254755e-07,0.5759027691864,-7.68263560959236,-8.11237093459078,-8.08776348169006,-8.25853837877876
"Tbc1d15",0.167598196502625,0.401158080722518,6.98942310695116e-07,0.888089243954694,-8.29097018745598,-8.40891717903481,-8.77923847690832,-9.17905943141067
"Nup62",0.174175128171116,0.386284808189443,8.9718613072165e-07,0.914965639327987,-7.92149815209623,-8.00093058189774,-7.66470372842755,-8.57966936775554
"Cep85",0.26181303619575,0.576071217111345,9.17118012200291e-07,1.37427999691771,-9.48826206912756,-8.52443831183231,-8.11398207220985,-8.69194514312178
"Kpnb1",0.225614640583444,0.50138159437329,9.30755777783787e-07,1.18365768167612,-9.32130696873146,-8.52665588343868,-8.47495475833246,-8.13764928705534
"Phospho2",0.105886415426969,0.228507391926101,9.69095673042375e-07,0.554730832922176,-6.7356082258429,-6.95600614360756,-7.29033905876507,-6.96522790251174
"Arl6ip1",0.218268402643108,0.488238892599377,9.71981356734375e-07,1.14337168086599,-8.70202036279279,-7.83089881354948,-7.5586486819268,-7.982804661522
"Ybx1",0.0833034927362253,0.18705901648513,1.00856067231092e-06,0.43580648889699,-6.26670991767967,-6.09709260126174,-5.83090342878268,-6.17107935094549
"Bap1",0.179232457017259,0.398803010043417,1.10391115315522e-06,0.934666919673045,-8.39070620437458,-8.64071284892256,-8.67701193814585,-9.32537312404763
"Angel1",0.119114404876465,0.40111954085062,1.19879916393728e-06,0.619338170146384,-7.83581376087851,-8.34394764641632,-8.80565452702371,-8.45515193102489
"Nubp2",0.0998422020699907,0.230009168271148,1.46303372483558e-06,0.515422676593338,-7.99933005323529,-7.809515394923,-7.93864160874754,-7.48390737664195
"Smg9",0.33859338381026,0.722794197537629,1.59516179332186e-06,1.74245868666512,-9.90541554956836,-9.30544773474092,-9.13912141557569,-8.16295686290324
"Dnaaf1",0.0800528481064392,0.188161252982961,1.74200299518645e-06,0.410640369726526,-6.08569635639702,-6.38290391571103,-6.49633672612354,-6.17434843810833
"Gmcl1",0.289577940338944,0.66429287337149,1.9195229739033e-06,1.48012467292373,-9.67164565212873,-8.3685458254406,-8.59277625555775,-8.191520979205
"Ywhae",0.103977435075948,0.244461281001307,2.69251317641661e-06,0.52477629157472,-7.32158089375497,-7.74305133734315,-7.45545704032724,-7.84635718532969
"Zfp541",0.109443512110192,0.278343660056459,3.74107368150689e-06,0.545443318531415,-7.76323827178085,-8.10589218383263,-8.38670724226836,-8.30868159031227
"Pde1c",0.0829782368565903,0.241903095901233,3.82643580154607e-06,0.413183788763224,-7.23913005863409,-7.36827026318634,-7.75890664165087,-7.65231384739731
"Ccdc88a",0.0890721009160176,0.196846933378293,4.06258037077833e-06,0.442494188458993,-7.27811692296363,-7.5011503726665,-7.65634985556813,-7.72061111142263
"Lrrc73",0.209324081667096,0.543058480078596,4.18264594959084e-06,1.03870119667117,-8.34994288005601,-8.52498199345392,-9.35034605700173,-9.38864407672718
"Hrasls",0.0927593176120876,0.368240951544279,5.13991405437508e-06,0.456561145165263,-7.12115240866246,-7.50193301300072,-8.01894877728454,-7.57771355382773
"Dmrtb1",0.099032790276905,0.236468708269765,5.25621188041114e-06,0.48700545852251,-6.5089415067303,-6.67089452025359,-7.02329123114546,-6.53628577262296
"Maats1",0.178328605224619,0.390823215045619,5.70369498698042e-06,0.874094627905434,-8.28132178094716,-8.38399805946323,-8.55970115078644,-9.1554164088526
"Cog6",0.112289075962537,0.261932491417075,6.72532651568858e-06,0.546750479820049,-7.87727673029886,-7.94198185411699,-8.27198453474278,-8.42402721011891
"Serbp1",0.122474340540402,0.246504074132823,7.53803995356961e-06,0.593576648733433,-7.26687164126182,-6.95225118927861,-6.67329499252839,-6.87533862209731
"Nktr",0.119558717787137,0.462547043311022,9.83884741412311e-06,0.573092381174065,-7.62655550533982,-7.80747571545866,-8.66967917242429,-8.19964788651388
"Insig2",0.140957405499473,0.296940383281888,9.96406958941876e-06,0.675307220786147,-8.01299444621011,-8.41144386719735,-8.15788198203205,-8.68830166699626
"Ehbp1l1",0.169476869283166,0.33354941478079,1.29338013805658e-05,0.803025115553314,-8.03479162346812,-8.35687897762647,-8.50736811674268,-8.83781673902144
"Rnf7",0.18580230242715,0.371271997513934,1.60685701531271e-05,0.872170831879835,-8.85583215131473,-8.28174347609278,-8.9291220783237,-9.15391430797262
"N4bp2l2",0.152138668704746,0.307025339119614,1.73763098496593e-05,0.711713459588144,-7.93958546669011,-8.10066811238354,-8.30565609740197,-8.65129892627825
"Slc2a5",0.126461005475288,0.244486093958732,2.17813318195148e-05,0.585704420964809,-6.79321656019477,-7.02303780679865,-7.37892098115958,-6.98221792432757
"Pkmyt1",0.230151290454707,0.554523438160903,2.40105397044665e-05,1.0612945993949,-9.47083684860912,-9.28224039320559,-8.2614845231988,-9.3227791225937
"Ube2d2b",0.146547167242149,0.298671314261204,2.66025652320145e-05,0.672642522143287,-7.06015025047937,-7.15030675237235,-7.73279277262265,-7.27805504652862
"Clasrp",0.117796839110805,0.249119111346898,2.81881330637113e-05,0.539255060291774,-7.62692797713844,-7.69223708893992,-7.95986376332612,-8.16618303743021
"Qrich2",0.180814757463664,0.364995081674015,3.17101987281632e-05,0.82327544054568,-7.24108317976973,-7.80942347914739,-8.06435862031541,-7.4616376381515
"Pcbp1",0.385835448219878,0.819557584589809,3.83220837756326e-05,1.74133539832134,-10.2094258968095,-8.8512792252685,-8.50249414157131,-8.4680904984882
"Cdc42ep3",0.130634020301618,0.320014322746254,3.99868174039142e-05,0.588392903924506,-8.39964237430624,-8.06440207732593,-7.67065288862341,-7.81124947038173
"Ggnbp2",0.112856873305292,0.208006945087227,4.23165655183411e-05,0.506963230664136,-6.48267150635624,-6.71145497292459,-6.98963473702038,-6.76233248256339
"Lsm2",0.148680073994981,0.307748004485027,4.69203373953953e-05,0.664607670217952,-8.09269075675734,-8.28548725334142,-8.63746437106375,-8.75729842697529
"Nme8",0.152560891431705,0.475103093031974,4.69962278160097e-05,0.681902390843772,-7.94258170188492,-8.38040627770826,-9.08038674051116,-8.62448409272869
"Nuf2",0.148712098426336,0.356658767539038,5.41856305424915e-05,0.660157251512892,-8.24807307789856,-8.29361387820016,-8.86582044991809,-8.90823032941145
"Cyct",0.176419573912112,0.332025413482663,5.51325188102858e-05,0.782497148768091,-8.15496595831293,-7.68171816048316,-7.37246880954484,-7.90004717396264
"Rbm27",0.101988553961228,0.197518471356087,5.69447556442171e-05,0.451652321956251,-7.6579439968394,-8.0223657855403,-7.98461785531526,-8.10959631879565
