"","Z_score","log_fc","conv","p_val"
"Malat1",10.0322030499258,0.607313815972832,TRUE,0
"Rps5",8.71592360610299,0.221144252064558,TRUE,0
"S100a4",11.3127287576374,0.496881457606651,TRUE,0
"S100a6",8.91476442660668,0.312107508690563,TRUE,0
"Mgp",8.26683124548095,1.69205399445903,TRUE,3.10862446895044e-15
"Ahnak",7.92553967326034,0.162652378392343,TRUE,3.10862446895044e-14
"Rbp1",7.92823650128491,0.600513462253867,TRUE,3.10862446895044e-14
"Atf5",7.81823281712535,0.269401050497014,TRUE,7.46069872548105e-14
"Sptssb",7.63636461694234,2.55261104685178,TRUE,3.13971071363994e-13
"Rps24",7.22591756668964,0.300528536931535,TRUE,6.96953605938688e-12
"Crip1",7.03546484052296,0.816953978981543,TRUE,2.78035372502927e-11
"Rpl13a",7.00011202574122,0.209662108773855,TRUE,3.58051366333711e-11
"Ncl",6.91531596890391,0.402775759844042,TRUE,6.5355720835214e-11
"Npc2",6.85507277924406,0.62961070622002,TRUE,9.97868454533091e-11
"Calm1",6.67217756651551,0.212821740623085,TRUE,3.52850637597157e-10
"Lgals1",6.66315327409869,0.205772732833663,TRUE,3.75220299275725e-10
"Krt18",6.6629396498257,0.376560761302702,TRUE,3.75764308557791e-10
"mt-Nd4",6.62914384210072,0.244618536157459,TRUE,4.72694328124135e-10
"Rps3",6.47874024039902,0.210859688700712,TRUE,1.29488197941896e-09
"Timp3",6.41210661679474,0.92886427955962,TRUE,2.00931227212209e-09
"Spp1",6.37015786908633,0.390007479738584,TRUE,2.64367372437846e-09
"Pde4d",6.17852238926972,0.439408048437954,TRUE,9.05860320088436e-09
"Krt19",6.15510210806675,0.497400378190426,TRUE,1.05040793840772e-08
"Tsc22d1",6.13809531786917,0.561454706082845,TRUE,1.16923448700845e-08
"Fth1",5.84091101355618,0.174790866857632,TRUE,7.26825839514333e-08
"Myh9",5.81838467525732,0.329442542243371,TRUE,8.31866477923882e-08
"Rpl13",5.79010171956965,0.226690418659504,TRUE,9.84813350868308e-08
"Chsy3",5.75214943496622,1.46548023998921,TRUE,1.23362199566657e-07
"Nme1",5.72817251791335,0.585835675713742,TRUE,1.42125620605782e-07
"Tgm2",5.67697298158606,1.39925602952112,TRUE,1.91938763105526e-07
"Krt79",5.55846397537423,0.71369380298481,TRUE,3.81022761342109e-07
"Ctsl",5.55554758232931,0.209194280722429,TRUE,3.87439938354106e-07
"S100a10",5.50109424590132,0.221892674454742,TRUE,5.28417926304314e-07
"Fam162a",5.4552639113152,0.45966096960206,TRUE,6.84602282419178e-07
"Lgals3",5.42427196706977,0.268950845322788,TRUE,8.14677143079479e-07
"Rps14",5.24234535279258,0.173477267158049,TRUE,2.21967566282899e-06
"Rpl37",5.23976579505244,0.420107051617477,TRUE,2.25092724592812e-06
"Ifitm1",5.11085283166286,0.338361982698334,TRUE,4.48990846146913e-06
