"","Z_score","log_fc","conv","d","p_val"
"Cmss1",9.84400958688043,0.735707771895096,TRUE,-0.0207151567634325,0
"Eef1b2",11.046588347827,-0.459138720768922,TRUE,3.22271244135308e-08,0
"Ifitm1",10.4005148231571,-0.763681526142392,TRUE,1.95290075777343e-10,0
"Ifitm3",8.40210183834012,-0.451684860289452,TRUE,5.57648749729966e-06,0
"Krt18",13.2565386660961,-0.589070090485153,TRUE,1.4027905423375e-07,0
"Krt19",16.7535500211566,-1.37056259064563,TRUE,-4.73407157274008e-07,0
"Krt79",11.0493563791139,-1.36277259837714,TRUE,-1.199630672577e-13,0
"Krt8",9.14129492349533,-0.607537284080365,TRUE,-8.19831977945107e-05,0
"Pde4d",8.62008938875443,-0.457510549821105,TRUE,-1.66784010935395e-07,0
"Rbp1",9.89649951219225,-0.563050147666921,TRUE,1.80170605412755e-06,0
"Rpl13",12.1697184869837,-0.545233005286945,TRUE,-3.78141962187328e-13,0
"Rpl13a",14.474666696029,-0.545845697648391,TRUE,-9.46413680757985e-08,0
"Rpl22",9.24396980981012,-0.544557985887976,TRUE,4.30003255225131e-13,0
"Rpl26",10.7774681442462,-0.534401799215981,TRUE,1.19786708330238e-10,0
"Rpl32",10.0643006326918,-0.514924749331734,TRUE,1.43772906968653e-07,0
"Rpl37",8.56756393231904,-0.511551892210671,TRUE,-6.55739351707041e-13,0
"Rpl8",15.7272609043123,-0.508268278337776,TRUE,-1.55220281072843e-12,0
"Rps14",13.9414778517087,-0.587015556077393,TRUE,-3.91080307027281e-10,0
"Rps24",16.3143785114815,-0.648061228492131,TRUE,4.40684365665689e-08,0
"Rps3",14.8833749734664,-0.601492707194942,TRUE,2.8862955465947e-06,0
"Rps5",17.9893625821196,-0.590936674275588,TRUE,5.91349191836343e-11,0
"S100a10",12.1316848392876,-0.488865357753924,TRUE,-0.000170315252548348,0
"S100a6",13.1868865840306,-0.45777835188515,TRUE,-3.5734570171142e-05,0
"Slc12a2",8.33656798260893,-0.863413629658725,TRUE,-5.98433855247826e-09,0
"Rps21",7.86999609994616,-0.519257304026079,TRUE,-0.000447829520804174,3.5527136788005e-15
"Rpl35a",7.80612590520423,-0.546553386820696,TRUE,2.49857912137941e-11,5.99520433297585e-15
"Cox6b1",7.78450379965262,-0.479227624432519,TRUE,5.84604282184709e-06,7.105427357601e-15
"Lgals3",7.77050393283607,-0.581418991185495,TRUE,2.21717089132767e-11,7.7715611723761e-15
"Rps26",7.55282490342439,-0.487047040857673,TRUE,-1.73774328260379e-11,4.2632564145606e-14
"Emp1",7.5426252919644,-0.490002804047412,TRUE,-1.42584904994081e-09,4.59632332194815e-14
"Atf4",7.51412362661012,-0.478328436360163,TRUE,5.07649634329255e-07,5.72875080706581e-14
"Pdgfa",7.49167607098722,1.09646081266022,TRUE,1.0020475760264e-06,6.79456491070596e-14
"Rps19",7.48874675074605,-0.469748988918903,TRUE,3.53353027393588e-10,6.94999613415348e-14
"H1f0",7.41440680717135,-0.676896920222223,TRUE,4.28824616788281e-09,1.22124532708767e-13
"Nudt4",7.37645963256019,0.937084075596444,TRUE,-2.9882807381712e-06,1.62536650805123e-13
"Rps20",7.34206551015627,-0.419168590254384,TRUE,-1.37185035273268e-06,2.10276240864005e-13
"Banf1",7.25588359543417,-0.445432135934044,TRUE,-1.15854452975572e-08,3.99014155050281e-13
"Rps15",7.16719684161546,-0.492755184054009,TRUE,-3.36677155599041e-08,7.65387753176583e-13
"S100a13",7.13430648736075,-0.7498402655009,TRUE,-7.42008875565317e-06,9.72777414176562e-13
"Crip1",7.07088921517545,-0.596000880436082,TRUE,-2.28220773779431e-05,1.53943524594524e-12
"Rps18",7.00617515456859,-0.528565127441844,TRUE,6.85965605687344e-06,2.4491519923231e-12
"Eef1d",6.93123562482726,-0.412212189452032,TRUE,-1.14271092588325e-12,4.17177403733149e-12
"Atf5",6.9245793658831,-0.606775170039801,TRUE,-3.54161144855425e-14,4.37272440478864e-12
"Rpl14",6.91959408090113,-0.452901428218959,TRUE,-0.00023811106894267,4.52948789586571e-12
"Dpysl3",6.79673497019685,0.977703040422379,TRUE,6.22917013123891e-07,1.07016617789668e-11
"Esd",6.70030309181442,-0.565702809733974,TRUE,-2.78500578715368e-06,2.07986960987228e-11
"Rps8",6.55340997365597,-0.584470893289895,TRUE,-1.55961527806697e-05,5.62379032231775e-11
