"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Pcdh17",0,-2.999146586769,0.420886643377395,-7.12578228356789,0.511769005234748,0.000212210017019767,3.26009219620005e-10,1.03494990355557e-12,-4.26355906168151,-4.23879391320027,-2.26636522399047,-3.0861645943568,1.31992228002435,2.79514091554551,0.789701173342521,0.547210777693323
"Crym",0.660218304416749,-1.93178524583791,0.367831366134294,-5.2518230463593,0.800749983418096,0.000463985570469822,1.35541001622386e-05,1.50601112913762e-07,-2.98665162019726,-2.12352262788438,-1.58965065711591,-1.26182763226828,0.327565700578905,0.597203454769337,0.199739597775678,0.146545353007567
"Tbc1d9b",0,-1.84778416327753,0.46620623648309,-3.96344797361918,1,6.02173951500008e-05,0.00379238023851719,7.38749689326301e-05,-0.908608319100598,-3.24450807779965,-1.2644043611432,-2.70140284487823,1.08692122644814,2.11265129213794,0.753410690286936,0.751924710718445
"Gda",0.243494632853966,-1.71430640339425,0.243016203394346,-7.0542884772684,0.520084126440797,0.000400710227375607,4.68405314535403e-10,1.73483449827927e-12,-2.72695244795037,-2.78077271725383,-1.58524006286761,-1.38175043148126,0.569318015626205,1.1997965393945,0.334404870493928,0.262095572309331
"Epha7",0,1.63887723707439,0.189355156616626,8.65504413166054,0.779940766637205,0.000226507649789535,0,0,1.52993326676731,0.980391251723644,1.77547714098311,1.8120742092113,0.393002651823836,0.553069993125647,0.358488003417958,0.31061267698173
"Lmo4",0.30191797989531,1.43235992832248,0.1842426165628,7.77431386420987,1,0.000658674800051126,3.56714657812063e-12,7.54951656745106e-15,1.8245296770099,0.913230555084446,1.45725862064953,1.38034971909912,0.196131282692615,0.309412579850072,0.189725450874754,0.161534381400866
"Lrrn3",0,1.41915645038949,0.256642384965728,5.52970410783473,0.710331200421864,8.14210107491005e-05,3.51578197554936e-06,3.2077138056863e-08,1.43825612577606,1.43296187950734,0.849787296328974,1.80816421677473,0.543137804012561,0.930571428472783,0.476615887268375,0.400457174477725
"Nol4l",0,1.40829543517296,0.350496334313985,4.01800332071766,1,2.98127662326282e-05,0.00329385614327826,5.86933702799719e-05,2.0519738802893,1.34497554075467,0.707924972860175,1.6610399730798,0.750210024262367,1.0261273904467,0.62348939462865,0.59326181184015
"Scn3b",0.216089797329793,1.25401675352552,0.235502783852293,5.32484895937384,0.598686043321801,0.000133497619696644,9.54799262753436e-06,1.01036959021528e-07,1.17303653732688,2.12180003679115,1.25297444855615,0.98729472045391,0.45043707177019,0.610742863050749,0.385223658192487,0.326781066263812
"Myo5b",0,-1.23372554120916,0.187365191958251,-6.5846037266306,1,0.000172900959041651,8.62028248782565e-09,4.56099602530458e-11,-1.30747634602519,-1.14863231157009,-1.32893912925909,-1.15426034926372,0.46612993644512,0.768059414272038,0.333772631362773,0.2751212326563
"Cck",0,1.22116964472065,0.12659715086271,9.64610685468712,0.690748637456931,0.000696051727066691,0,0,1.54599728376949,1.44595335949789,0.996754993663853,1.09712996932034,0.252106037137038,0.395085535689883,0.253853587372774,0.201059677449783
