"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Syngr1",0,1.50706658236301,0.179240554577665,8.40806694619998,0.821635253822379,0.000394828053224998,0,0,1.38837865300865,1.89460845670652,1.30926786307763,1.46843224790673,0.377218746455567,0.365241296675396,0.333673685822275,0.362243746753514
"Ctsl",0.513994799576306,1.35673527313591,0.330847942007328,4.10078196317104,1,0.00139500795990991,0.000741161497019416,4.11756387233009e-05,1.80054849462626,1.46630845988217,0.43835459272716,1.88160206510332,0.473913317110876,0.413175294523566,0.358613979142636,0.425815582975464
"Tyrobp",0.307190511509826,1.31617045539715,0.204508438766551,6.43577577206764,1,0.00200637653134706,4.05385791601987e-09,1.22844179273329e-10,0.717312670825086,1.59681665766482,1.48592982191199,1.52101379688468,0.248084871822087,0.254581979165734,0.256353011446528,0.327052977454269
"H2-D1",0,1.3062232059769,0.246792859509798,5.29279173056888,1,0.000392699299715906,3.40738439349611e-06,1.20463084618549e-07,1.63467462887238,1.10309133534202,1.18715805358717,1.42050634248261,0.58691040074357,0.47229140787359,0.465884237059079,0.47537733278901
"Npc2",0,1.25098718055193,0.179041314392081,6.98714251958853,1,0.000758128286411669,1.38862921161831e-10,2.80531153862285e-12,1.20131776173375,1.35706452943966,1.39801547416922,1.02823386889927,0.356842141971525,0.375431927414986,0.336964948299579,0.366603471410895
"Cd63",0.340419270133555,1.24401516569936,0.251383819017583,4.94866841692921,0.516952256956505,0.000505147835508318,1.84939222126479e-05,7.47229180309006e-07,1.93804038419281,1.3130883620871,0.705919887897271,1.20293957310804,0.415206998379419,0.363215338055594,0.310024202832884,0.402052631862102
"Ctsb",0,1.14258675300452,0.115258765770145,9.91323085380884,1,0.0022887507945503,0,0,1.17751044403454,1.33015659970788,1.0914453836027,0.949052182752876,0.237526606151722,0.231848703392846,0.203772979028584,0.259372641036346
"Ivns1abp",0.0626115681433059,-1.04230865383546,0.250791632690959,-4.15607427828288,1,0.000779039226633637,0.00064104995448635,3.23762603275934e-05,-0.491358331899672,-1.75072059733805,-1.14732665793201,-1.28809296137977,0.408313322921733,0.590052228857553,0.500794297668243,0.549219465347648
"P2ry12",0,-0.922008584720492,0.139707441395932,-6.59956674825583,1,0.00371953168140307,1.63295057475921e-09,4.12361256252325e-11,-0.925346968093257,-1.07310547633014,-0.597910536783822,-1.14038618593834,0.247512725443622,0.275129418175617,0.282664977131269,0.329964733856676
"Ctsd",0.123304462387067,0.89903838348643,0.105218138480865,8.54451900087479,1,0.00627295950117493,0,0,1.10531625099542,1.02508640539061,0.823283365840906,0.635763410002389,0.16812694531184,0.178133316929208,0.157563869582656,0.179813229878117
