"","Z_score","log_fc","conv","d","p_val"
"Cd24a",9.40574136890029,-1.67707591015648,TRUE,1.16244763148643e-07,0
"Gabra1",11.8027854232698,1.44734751706511,TRUE,3.59823282281013e-13,0
"Syt2",9.37293010126525,2.91509353291852,TRUE,8.80961970040062e-14,0
"Man1a",7.54351095554332,1.51194788876335,TRUE,-1.51922918689706e-12,4.57411886145564e-14
"Pgr",5.89570314729036,-0.796718390617634,TRUE,-3.68149954965702e-13,3.73089181771036e-09
"Gpr165",5.33490384255769,0.576623698855536,TRUE,3.97225391468581e-10,9.55952028647289e-08
"Ar",5.07631798893664,0.60576872170019,TRUE,-3.82718023939077e-11,3.84819070831099e-07
"Galr1",4.82128145567538,1.13532205049041,TRUE,-3.30705019868649e-07,1.42638933731121e-06
"Rnd3",4.8157703766129,0.618184807952688,TRUE,-3.63931107472126e-13,1.46633067266144e-06
"Irs4",4.66476473516856,-0.695747754955767,TRUE,-3.49560218548817e-07,3.0897032632371e-06
"Amigo2",4.59103872924043,-0.642748288613797,TRUE,-4.03305038781943e-07,4.41045477783675e-06
"Glra3",4.43156563104365,0.619470032505941,TRUE,-0.000493310016238035,9.35513287170231e-06
"Crhr2",4.28267582843768,1.0415149278368,TRUE,-5.06908454100952e-09,1.84659107085317e-05
"Bdnf",4.23883211649451,-0.637215775133976,TRUE,2.53947296635637e-07,2.24685599841123e-05
"Cckar",4.1465741834921,0.607976067838246,TRUE,5.51229673284581e-06,3.37486867887371e-05
"Ebf3",3.91188922878922,1.55101956308024,TRUE,2.33945519106937e-06,9.15769163243318e-05
"Rxfp1",3.81940269449154,-1.19513429996246,TRUE,3.17246229286638e-14,0.000133775217587617
"Npy2r",3.48953893163958,-0.684607395973218,TRUE,-1.15390512034352e-06,0.000483854573390285
"Prlr",3.38485111959262,-0.4533814314504,TRUE,-2.46538699633092e-06,0.000712168703241867
