"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Tshz2",1.07638481648272,2.9609777054882,0.631709866652247,4.68724308705187,1,0.000226909089282703,0.000125764782884779,2.76909986185458e-06,4.57466493590153,2.42878870180095,3.34505607246904,1.62800234171072,0.737831220412846,0.532980649600431,0.684832686465058,0.691132612764685
"Etv1",0.235630910295386,1.93032235076974,0.17491168879428,11.0359825811302,1,0.000245136813129466,0,0,1.63192065492447,2.30232859915378,2.15389147231633,1.6305815836855,0.253187058716974,0.259036777198923,0.256813992463358,0.265391789131233
"Fut9",0.621439969399399,1.29361338455684,0.363474811512905,3.55901796653361,0.678972452195807,0.000432724985701314,0.00772976205308641,0.000372244069386962,0.23863269279606,1.90655570638425,1.61851288166577,1.31579382291255,0.42226803489952,0.321469537336715,0.425723119918442,0.340092484474629
"Elavl4",0,1.21421661147408,0.160853147921635,7.54860335133528,0.608629382595833,0.000445203428716727,1.78936865324886e-11,4.39648317751562e-14,1.20353638643828,1.10946449732341,0.868858274571003,1.50663431614589,0.315274507182657,0.311221784963912,0.391932451520309,0.291674945239581
"Rell2",0,1.15566796360644,0.200453584439059,5.76526464637894,0.797814819620987,6.65761664572559e-05,7.90062613902671e-07,8.15298029088751e-09,0.786522412331006,1.10653004609249,1.52234428892926,1.24743512645307,0.386123500317678,0.417592002917592,0.412491997502796,0.390196227315556
"Kcnab1",0.403959957454738,-1.04619301883682,0.263566935334338,-3.96936367420183,0.97937796983601,0.000113876190635103,0.00203683213509954,7.20648224703524e-05,-1.05397459619231,-1.75816883117158,-0.474482734236966,-0.979341077716157,0.31119957753447,0.373792076417665,0.321106752491519,0.350877768920131
"Nefm",0.158007936624954,1.00975509921111,0.137355562367086,7.35139576300894,0.941431469021489,0.000948212517232387,6.64988434688022e-11,1.96065386148803e-13,1.16576853335352,1.2260458502813,0.991974664138025,0.614274750633289,0.206661712424158,0.226114375124967,0.232727196384491,0.235300670909325
"Nr4a2",0.307107070421749,0.923024093673126,0.216066785665831,4.27193883978389,1,0.000195469590678721,0.000625942516861089,1.9378073003562e-05,0.539789583326667,1.53218087909552,0.761626115342815,0.772599651166784,0.296681275943642,0.269484057899703,0.346615784985044,0.308200320291316
"Ccnd1",0,-0.914877817507396,0.182570772142257,-5.01108587520532,0.570647520861236,0.000213102289257662,3.05949550163017e-05,5.41237533457917e-07,-0.741130999740766,-1.26038818630366,-0.928217787069872,-0.825220082909526,0.329870269181031,0.400502172118647,0.370674033313199,0.370147943408351
"Rit2",0.116039810671967,0.906924018723793,0.159341057420217,5.69171582897204,0.523607050139831,8.93952359470785e-05,1.0664167049886e-06,1.25769046288582e-08,1.08605347785188,1.16104119910311,0.832033238787799,0.450722825321679,0.281360085076749,0.279212432175167,0.317346286099357,0.314596277069425
"1110008P14Rik",0.325257559151381,0.897638267260523,0.23503772645869,3.81912419246573,0.803709958655454,0.000110128825094673,0.00344987436695429,0.000133926326776113,0.91365543838642,0.23040560192188,1.33757679524251,1.05859419048014,0.322094604321081,0.362951185519745,0.338788975411088,0.335073833839994
"Syt17",0.192101002128246,-0.867423199267267,0.199006669786642,-4.35876445848395,0.735021518403241,3.50449512506141e-05,0.000458923361425501,1.30798795885401e-05,-0.47307941843576,-1.2425570215129,-1.23132043972758,-0.636959983967596,0.324539822719976,0.369180135460474,0.3662535736878,0.338576266150168
"Arhgap32",0.216730727459322,0.864935238198995,0.18613877218902,4.64672259318801,1,0.000173879260783053,0.000146022159357274,3.37250196058569e-06,0.664574322730997,0.644510187631752,0.681324498037849,1.41160107913362,0.324094025478463,0.27614299845821,0.33236424262691,0.284534461865817
"Arhgap39",0,-0.861163966274954,0.214544723209585,-4.01391352531051,0.866127477000722,8.26879393293599e-05,0.00173615249200643,5.97202331402702e-05,-0.676643173386616,-1.06470983248509,-0.585176402588792,-1.17704982947474,0.44102861046331,0.404118196940943,0.405355827354911,0.478102152483147
"Hlf",0,0.842555586914328,0.125163954988626,6.7316152401136,0.562309207826748,0.000294464541516663,2.8454425852568e-09,1.67790226157649e-11,1.02387342057507,0.68602922359308,0.928255194989458,0.703243958104883,0.221225373818813,0.240444941465849,0.292001277594571,0.263757322803577
