"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"AI507597",0.0489136378731753,0.282206943681201,0,0.456596715237838,-6.73646305909238,-7.19305977433022,-7.41422363489842,-7.11702436390643
"Abhd16b",0.111251503092985,0.393371029888447,0,0.941237976749608,-8.95097874401871,-9.276442335146,-8.75615331923269,-8.33520435839639
"Abhd2",0.143730923866769,0.675099879944831,0,1.50560308197286,-9.68147407103111,-9.38066122253758,-8.71847835262725,-8.17587098905825
"Abhd5",0.106980856247946,0.725522613623928,0,1.47287748234373,-8.89543507820439,-8.93886661752829,-8.0744727219313,-7.42255759586067
"Acsbg2",0.0455593734317886,0.342491578735923,0,0.565607575229418,-6.9700870316987,-6.82132035547896,-6.80841958328417,-7.53569460692812
"Actb",0.0510627455807963,0.528525379478208,0,0.922926487841636,-7.50132165261261,-7.81223637675087,-7.15871151579274,-6.57839516477097
"Actl11",0.0478978578291721,0.234474070134419,0,0.445823148889311,-7.28880951675417,-7.36907296970997,-7.7274572934873,-7.73463266564348
"Actrt2",0.0548544482928459,0.596853913144757,0,0.638615238476028,-7.72209985242425,-8.51428898518491,-7.53899110632321,-7.08348461394822
"Actrt3",0.181979165687164,1.14494850044535,0,1.79469623673078,-10.0337924912202,-9.80286251299647,-8.23909625448942,-7.71493801250588
"Adam3",0.0948060227192854,0.340939345343795,0,0.813349718332359,-7.90081899438629,-8.14564892492281,-7.7674270465963,-7.33229920659045
"Adam5",0.0704768067658053,0.469257285383329,0,1.09592433229365,-7.72031089474723,-7.4158840513767,-7.08802795312144,-6.62438656245359
"Aif1",0.0493135213745989,0.572536107301803,0,1.06835119159346,-7.4594476679968,-7.69769786835726,-7.04158750151047,-6.39109647640334
"Akap1",0.0476931506258672,0.224560222922779,0,0.456644031521656,-6.70692631287566,-7.16357034439731,-7.19699310639283,-7.06486706408863
"Akap12",0.0302995920921183,0.21452001926555,0,0.477525255712233,-5.93225542927761,-5.98705838268568,-6.06526759769199,-6.40978068498984
"Akap3",0.132111779252736,0.741955666397157,0,1.50538473062294,-9.24368119733087,-8.96606152822404,-7.94892716298035,-7.73829646670793
"Aldoa",0.0600932358342434,0.344433141827446,0,0.622427981952678,-7.41629737023249,-7.25151847048409,-7.69076570672635,-8.03872535218517
"Allc",0.077849602360364,0.379374512313814,0,0.658117248736888,-7.13894924350051,-7.7970664922374,-7.33282829394888,-6.90264865960572
"Ankef1",0.0476917050563904,0.295409945493317,0,0.499210016167758,-7.27122529875931,-7.02513311988925,-6.84587950926003,-7.52434313605701
"Ap2b1",0.110899187495658,0.400607371052118,0,0.97661224819719,-8.25747027415942,-8.67953026928776,-8.16643962833413,-7.70291802109057
"Aqp11",0.0513932850238173,0.399438296950768,0,0.667687027713941,-7.00095418921071,-6.76525865911286,-6.91545898581314,-7.66864121692466
"Aqp7",0.109204182251764,0.690064426558081,0,1.51325658424556,-9.02281943206798,-8.77200739778089,-8.04659168365603,-7.50956284782241
"Arl2bp",0.0519446931403204,0.441563629344378,0,0.433087627223852,-7.43823295371013,-8.07993139890628,-7.5192987929232,-7.00514532648628
"Arl9",0.0464147564657957,0.256420524361554,0,0.418669202909518,-7.48257341716402,-7.52871989104606,-7.98748136248012,-7.90124262007354
"Armc12",0.0837917032874218,0.421484222106573,0,0.915358779680258,-8.46750026031847,-8.36841058334282,-7.93516319338993,-7.55214148063821
"Asb17",0.0984015323448507,0.728465687639852,0,1.40163646924752,-9.04128941449021,-9.12039721137683,-8.07869140639867,-7.63965294524269
"Asrgl1",0.0665993444651599,0.391096847466531,0,0.854169500203055,-7.61816423207916,-7.54484405103741,-7.18992371240614,-6.7639947318761
"Atl3",0.0412821313416244,0.415855881016625,0,0.636246370976537,-6.73897493936692,-6.46698797292937,-6.525232508652,-7.37522131034345
"Atp1a4",0.0513369263372076,0.397744724739103,0,0.628963583407921,-7.65635718185921,-7.98584687584865,-7.53527788597457,-7.02739359845129
"Atp1b3",0.0361347847300671,0.298481146977755,0,0.479184231907079,-6.56553998570892,-6.36414086894502,-6.48372028327494,-7.044724217616
"Atp8b3",0.0619993635855264,0.30326058447814,0,0.605473945442846,-6.70513265264045,-7.31060659808329,-7.28382074025484,-6.86367377965842
"Atxn3",0.0728654300582866,0.396728080385814,0,0.729329034728623,-8.12477005010726,-8.31191836538457,-8.0095750256566,-7.39544101537864
"BB014433",0.0539518365571063,0.267646148740507,0,0.496626320945666,-7.39330961503086,-7.28724209959746,-7.42111909032026,-7.88993593597652
"BC022687",0.154818751337896,0.723422740222623,0,1.34682269772587,-8.18304155504376,-9.52986425276963,-9.44431207017992,-8.29287093132351
"BC049635",0.0666223033447001,0.371720216042091,0,0.77703517850568,-6.84114796240381,-7.61818314090949,-7.1245995111146,-6.81998516194372
"BC049762",0.124929492199989,0.678374760836606,0,1.53240228016488,-9.11907627167741,-8.6772086022265,-8.03465239609017,-7.58667399151253
"BC100451",0.0551908790925985,0.544038373905769,0,1.07150379363465,-7.618742213347,-7.68455799916573,-6.97234886399785,-6.54723841971235
"Bag5",0.0790216606385193,0.505875205204435,0,1.06265832198654,-8.15278089489735,-7.96993529552483,-7.33404997831547,-7.09012257291081
"Bpifa3",0.0614487538720442,0.367306915322875,0,0.572046288032248,-7.37105637215243,-7.94310266018468,-8.25835273099082,-7.86933493859991
"Bzw1",0.0954248722762766,0.389186899760901,0,0.818344352062999,-7.45207472100248,-7.58129242832872,-8.27041907306548,-8.06749714113757
"Cabyr",0.0888044795008119,0.377098117454374,0,0.814032759387776,-7.84747886026285,-7.55144797793098,-7.06558328681666,-7.87961604620444
"Cacul1",0.151396655837553,0.757920601610167,0,1.65083400416039,-9.56981251085273,-9.19320023780254,-8.34454806349175,-7.91897850669234
"Calr3",0.163665155889103,1.06700808724515,0,1.5848203812371,-9.57332649471531,-9.73617005272447,-7.98850611347821,-7.66111720461414
"Capza3",0.0685401920727771,0.537935628401911,0,1.06358283158119,-8.05759766747466,-8.09120334988202,-7.36901053902018,-6.99401483589347
"Car2",0.0539258072954408,0.448619143304987,0,0.679340616259427,-7.54343364996569,-7.20311052408583,-7.95029853301493,-8.22277426622512
"Ccdc101",0.0921889185562065,0.63190937679493,0,1.41314344949372,-8.60539174821911,-8.32632023579991,-7.71965037544998,-7.19224829872539
"Ccdc150",0.109850075221232,0.400674690887737,0,0.967759889262135,-8.05602277168161,-8.57496252797088,-7.95018523759233,-7.60720263870874
"Ccdc159",0.211157829099144,0.976370342643276,0,1.89336377037591,-10.2401087323953,-9.746610148071,-8.34674496201937,-8.3305955419354
