"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Acrv1",0.0727444219086879,0.303713698393593,0,0.679546419830008,-7.36936445146688,-7.26449185367871,-6.99805015581369,-6.68981803163687
"Actl7b",0.0536227855131194,0.24831924324358,0,0.557560918426113,-6.46866348848632,-6.38458765119185,-6.33030049276178,-5.91110257006021
"Antxrl",0.160017531436084,0.708453912969613,0,1.59447061099648,-9.16573473206824,-8.56763563330633,-7.90810717266929,-7.57126412107176
"Aqp7",0.115204194187781,0.427624717478556,0,1.02643253787526,-8.30299386621854,-7.76777294152006,-7.27656132834328,-7.61319332466761
"Arf4",0.0827678798037608,0.448169146019483,0,0.929380033862395,-8.33845653217758,-8.3035135020027,-8.08083089780288,-7.3741334681403
"BC049635",0.0736221663683105,0.338644241470571,0,0.647024630222654,-7.54256235083707,-6.89553772061442,-6.77563365385674,-7.14091623980021
"Bbx",0.0730846376219086,0.337119569580329,0,0.635312888830039,-7.48649831584204,-7.05809163613345,-6.851185427012,-6.71405672150363
"Btbd10",0.0901167612240701,0.451964114466961,0,0.874129474805151,-8.60779497484578,-8.46166344686895,-8.14580131744629,-7.5875339720638
"Cabyr",0.0527438431760177,0.300178984151577,0,0.700303659900684,-6.7664135051411,-6.5917654111052,-6.39665798825365,-6.06610984524041
"Ccdc169",0.126793384435809,0.544604722411304,0,1.05738459610356,-8.40607296830622,-7.87750648056208,-7.34868837220266,-7.21334248291474
"Ccdc173",0.0566704522225853,0.251382155784292,0,0.555892784938945,-6.71338975684702,-6.66331405442967,-6.8407035598773,-7.21920683936862
"Ccer1",0.060400083536191,0.232495673688122,0,0.518580102995774,-6.51792731851729,-6.34953080867825,-6.11691846402683,-5.99934721552152
"Ccser2",0.159023192725906,0.671876205809996,0,1.46651051178811,-8.73170689410248,-8.54593026950419,-7.85617902851577,-7.26519638231437
"Cct8l1",0.131353205791214,0.850379382577488,0,1.18868612371351,-9.85506974507275,-9.53949807796492,-8.3508119542514,-8.14634999581979
"Cnbd2",0.0952049139615939,0.490586228840115,0,0.851251936324131,-8.67137485264664,-8.38076338481692,-8.04020721552703,-7.52951144849279
"Cylc2",0.0511685311049454,0.239121112709264,0,0.438456436952809,-6.84458975493268,-6.40613331797987,-6.29326574292941,-6.56485747605624
"Cypt12",0.0768704241469571,0.340652495158167,0,0.829632455950597,-7.20206376105648,-6.71003784094861,-6.37243130510589,-6.76569618370142
"Dgat2",0.106287681749032,0.424065222405073,0,1.02444600857655,-7.93381918501459,-7.5147228625652,-7.34329243067224,-6.90937317643804
"Dnajb7",0.0782677707858161,0.549188015472604,0,0.748782855249009,-8.53434274784812,-8.18728122822465,-7.43849837297565,-7.4451106754729
"Dpysl3",0.0956932667467235,0.407089113788438,0,0.979049109730287,-8.06396364668529,-7.4137554031134,-7.08491453695501,-7.55106015696688
