"","x","y"
"f4e9c023-f3db-4f6d-9212-72b4dc77a3e3",1225.409571,-3825.694732
"b918064b-14e5-4c76-a868-7e2b552f098e",1232.785141,-3878.96677
"f5a6205b-717e-4aa6-9b4a-2bb7de0e76e7",1252.305187,-3835.562108
"9ebf1a3c-46d1-4ac1-a519-f438234e2183",1265.839329,-3937.000258
"e381f712-3bac-4626-9b1d-da94a3bc768f",1324.959698,-3871.20094
"ed0231aa-9e40-48d3-87c3-9211a6099631",1326.671952,-3937.474655
"1e14f6e5-f608-404f-9b62-f96b039a0d97",1307.53257,-3936.696588
"3fd922e5-5d71-48fa-a68c-3413313c70e2",1237.484255,-3608.875853
"8a7c4477-b80a-4ca0-a770-6be1ae1255cd",1249.326054,-3665.819688
"4331bf15-04ac-4d5b-bd1b-ea26e44b04ff",1272.240194,-3704.697106
"93a863ea-5568-480f-94f3-8162d564e50b",1270.095566,-3767.546799
"33c9b84a-fbe8-4d8b-b2d8-26b4cd97cbdb",1332.216102,-3772.431333
"8d12ed89-1c6e-4741-9730-53329b46059b",1392.410483,-3668.591393
"5edfd8a8-60ad-4700-85f9-a91ce1813a1c",1404.744469,-3626.783361
"bd1e7bd2-c525-4842-8073-a0919650e65b",1324.381835,-3679.126453
"5e0b9ca0-07b1-4e07-8f5a-5ba54a015e08",1363.070415,-3711.565966
"ffce201b-c4da-4699-ab20-8b1e2f4f59ff",1384.550946,-3793.802491
"fb6f6257-ff4a-412d-af4e-27990e354169",1323.081566,-3745.172889
"a8549444-2a11-4743-b0cc-9e49e2113f19",1253.524121,-3704.991306
"fba0acf1-2c75-4386-8556-4230a60b676d",1309.314371,-3615.358695
"2958ebb3-4462-4c8e-bb97-6538286e8dd6",1327.232749,-3428.035003
"cb0a0ce6-1a94-47d4-a9e8-5cdfc6b1a28c",1342.418325,-3482.518848
"880d6837-724c-4769-86d9-853d9bc4405b",1365.56806,-3409.955363
"f258c693-2f67-482e-a58c-97f8c19632e7",1377.673834,-3424.903691
"78f2b967-cd8c-45c9-9bb3-ecead3e50381",1281.41161,-3413.568379
"1e2a7275-9a36-40ff-af9f-577a09f5560f",1281.948782,-3462.392334
"75a95661-3f27-4aed-9f69-b422e5918e31",1311.687229,-3493.324977
"8ffd01f3-14a0-4279-84fd-e6b14490645b",1236.565745,-3382.582449
"7b7c8448-b2e0-45c5-a24a-b83da7f8b32d",1341.9708,-3335.164452
"37cf4190-30bd-4f11-bd2f-66e231f3e0c4",1401.564787,-3368.52812
"6b2ff2ce-04cd-449f-9b5d-a2e20e2c374f",1238.775474,-3043.341607
"49c71ed7-679f-4b36-8292-3c7f5f48c4d5",1272.940675,-3111.562058
"38849158-8c7e-4d48-bc47-2f3b8ef00ec7",1307.797324,-3169.469421
"bd1cfa1c-877d-421c-ba94-8e20eb319ebc",1348.169325,-3061.579121
"7c8f16d2-4c84-4f03-a788-f347a031a427",1354.903348,-3153.600449
"d352efcd-673a-4b26-b80a-68d532f44898",1359.570505,-3018.833621
"95215671-9d7e-4714-aa08-0ae0e79c1ce2",1295.616587,-3084.008723
"4d104fcf-bdad-4418-bd5f-33f30c491aaa",1334.777859,-3150.4477
"4af53059-5d7b-4fc3-94a6-fd5adac759e1",1389.428327,-3125.188953
"a9e6c149-82b1-4cc8-8418-50cb9e046b65",1404.791375,-3105.40923
"592dbc6a-866b-403b-b4c8-34987e4372b0",1329.700472,-3038.831079
"a0b1c285-145a-4c96-8425-e60714348785",1340.552113,-3159.97444
"20646976-88b1-4379-8bc8-66a0fdd7ac4e",1227.010669,-2809.226461
"3a5563cc-6f50-442e-b1f2-d8f8c26beab4",1231.617663,-2964.142486
"77ff7862-e345-4f30-87d0-d0c4f952a923",1250.021271,-2894.308528
"f14503b5-60ca-4f54-a1c3-2ec633e1c61f",1281.39417,-2886.268828
"40d5a90f-d234-4af7-a54f-3f0563dfeafe",1368.558189,-2904.019379
"57bdcfe5-3fbd-441d-93fe-0ddf91504727",1245.549184,-2846.577613
"19753348-0157-4596-9b6b-b685eeff761a",1225.241098,-2913.312757
"d0e9be2b-4fe4-4fdc-b3ce-466e370c5817",1292.073699,-2965.284921
"1a5ce7f1-ed1e-4edf-9727-da1bd2991edc",1380.025627,-2840.545633
"98c76211-9a59-478d-946b-c5d43f6f7042",1297.676786,-2867.61479
"fc964eaf-ad97-441d-8293-b677d62d1f12",1253.539216,-2787.689141
"76a6ffb8-75c9-44ad-889a-209b05cafa24",1255.374242,-2722.031072
"2096dc19-2d13-4c84-abf8-de6c1727959b",1265.060228,-2649.274274
"2014e967-ff11-44b2-9f50-0b6b084272ce",1299.856854,-2628.126976
"9cfe430a-965f-42e0-8f18-9c88ea2d9ace",1306.329439,-2768.836188
"16171e3a-7883-4ad8-914f-65a9b0c30d7f",1382.541067,-2777.519908
"41bd0f1a-bb74-431a-8e20-4572cc7af96e",1245.79738,-2484.532891
"e41b86e0-ec76-4045-8b6b-7f20b8e1ee8a",1254.792611,-2541.047515
"7e0147f4-708e-48a8-890c-536e6584da81",1277.037682,-2478.798367
"f11e6611-f06e-4381-9578-670e59ac513f",1280.205388,-2462.586884
"c4452b8b-e938-4b7f-8828-42a8a8d9b666",1289.467237,-2537.713338
"7458fc32-5174-43ee-bb69-4fe31b1c3531",1296.833753,-2582.156984
"731f211c-d5fe-4b03-8169-b34515847370",1299.783125,-2453.737736
"083ed00c-1f55-44c3-9d5f-72ac2a5e0648",1340.895456,-2525.532743
"9fa27bf8-ff42-45d8-ab84-baf9951a0987",1355.635295,-2451.402902
"30455e3a-1cbe-4ed5-8648-d64db8ea47f7",1274.400954,-2575.457587
"50d65364-f33d-4823-8230-ccdbe07578a3",1242.079271,-2266.86344
"0913531f-8721-4358-9fdf-44f1410c817b",1262.661366,-2219.218544
"74a9629b-fb43-46b2-bee6-93d7b0af6793",1314.898657,-2281.917272
"91a4f32c-fd46-415a-be56-1c4eecaeec30",1322.644487,-2225.431564
"e16eac17-f574-492f-ba98-0c397efddb76",1350.682731,-2308.352635
"25f7ed69-c694-4f9c-8a0f-87caa1ccb80c",1356.249709,-2308.779804
"974ff951-1d87-4774-a36b-fe6d69b786bd",1389.892147,-2219.238334
"0e83cc63-3d2b-43aa-92ed-a036ef639b8a",1396.925318,-2238.278001
